name,url,promoted_content,tweet_volume
#ViernesSanto,http://twitter.com/search?q=%23ViernesSanto,,45098
#COVID__19,http://twitter.com/search?q=%23COVID__19,,
Emiliano Zapata,http://twitter.com/search?q=%22Emiliano+Zapata%22,,
#EstaríaPadreQue,http://twitter.com/search?q=%23Estar%C3%ADaPadreQue,,
#คั่นกูEP8,http://twitter.com/search?q=%23%E0%B8%84%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%81%E0%B8%B9EP8,,1009406
#10deAbril,http://twitter.com/search?q=%2310deAbril,,
David Páramo,http://twitter.com/search?q=%22David+P%C3%A1ramo%22,,10305
Leona Vicario,http://twitter.com/search?q=%22Leona+Vicario%22,,
Trun,http://twitter.com/search?q=Trun,,
Sospechan Covid-19,http://twitter.com/search?q=%22Sospechan+Covid-19%22,,
Xi Jinping,http://twitter.com/search?q=%22Xi+Jinping%22,,23264
Viva Zapata,http://twitter.com/search?q=%22Viva+Zapata%22,,
Ben Hur,http://twitter.com/search?q=%22Ben+Hur%22,,
La OPEP,http://twitter.com/search?q=%22La+OPEP%22,,144355
eugenia león,http://twitter.com/search?q=%22eugenia+le%C3%B3n%22,,
The New Abnormal,http://twitter.com/search?q=%22The+New+Abnormal%22,,14973
Beatriz Gutiérrez Müller,http://twitter.com/search?q=%22Beatriz+Guti%C3%A9rrez+M%C3%BCller%22,,
Excelente Viernes,http://twitter.com/search?q=%22Excelente+Viernes%22,,
hoy 10,http://twitter.com/search?q=%22hoy+10%22,,
independencia de méxico,http://twitter.com/search?q=%22independencia+de+m%C3%A9xico%22,,
Basquiat,http://twitter.com/search?q=Basquiat,,
en grupo salinas,http://twitter.com/search?q=%22en+grupo+salinas%22,,
Hart Island,http://twitter.com/search?q=%22Hart+Island%22,,79401
Julian Casablancas,http://twitter.com/search?q=%22Julian+Casablancas%22,,
Soberanía,http://twitter.com/search?q=Soberan%C3%ADa,,22557
Vía Crucis,http://twitter.com/search?q=%22V%C3%ADa+Crucis%22,,
Marcelino,http://twitter.com/search?q=Marcelino,,
calvario,http://twitter.com/search?q=calvario,,
The Adults Are Talking,http://twitter.com/search?q=%22The+Adults+Are+Talking%22,,
La Nueva Viga,http://twitter.com/search?q=%22La+Nueva+Viga%22,,
ETERNAL SUMMER,http://twitter.com/search?q=%22ETERNAL+SUMMER%22,,
Trump,http://twitter.com/search?q=Trump,,2846385
#KKINNESS_GOT7,http://twitter.com/search?q=%23KKINNESS_GOT7,,158842
#SelenasNewBoyfriend,http://twitter.com/search?q=%23SelenasNewBoyfriend,,26746
#CancionesDeKaraoke,http://twitter.com/search?q=%23CancionesDeKaraoke,,
#ViernesdeChavorrucosconMiguel,http://twitter.com/search?q=%23ViernesdeChavorrucosconMiguel,,
#AMLOseVA10,http://twitter.com/search?q=%23AMLOseVA10,,
#나의_영원한_별_홍빈,http://twitter.com/search?q=%23%EB%82%98%EC%9D%98_%EC%98%81%EC%9B%90%ED%95%9C_%EB%B3%84_%ED%99%8D%EB%B9%88,,74614
#NahleRENUNCIA,http://twitter.com/search?q=%23NahleRENUNCIA,,
#rocionahle,http://twitter.com/search?q=%23rocionahle,,
#LetsLove1stWin,http://twitter.com/search?q=%23LetsLove1stWin,,282114
#Petroleo,http://twitter.com/search?q=%23Petroleo,,
#LadyTAPO,http://twitter.com/search?q=%23LadyTAPO,,
#laviga,http://twitter.com/search?q=%23laviga,,
#OneDirection2020,http://twitter.com/search?q=%23OneDirection2020,,565618
#LaDerechaYaNoPuede,http://twitter.com/search?q=%23LaDerechaYaNoPuede,,26670
#felizjueves,http://twitter.com/search?q=%23felizjueves,,29484
#JuevesSanto,http://twitter.com/search?q=%23JuevesSanto,,42630
#MiCasaEsTuCasa,http://twitter.com/search?q=%23MiCasaEsTuCasa,,
#BANGBANGCON,http://twitter.com/search?q=%23BANGBANGCON,,585401
