name,url,promoted_content,tweet_volume
#MatheusEKauanEmCasa,http://twitter.com/search?q=%23MatheusEKauanEmCasa,,146572
#ParedaoDoDennis,http://twitter.com/search?q=%23ParedaoDoDennis,,36043
#BardaPriscilaSenna,http://twitter.com/search?q=%23BardaPriscilaSenna,,46526
#soyludanrazıyız,http://twitter.com/search?q=%23soyludanraz%C4%B1y%C4%B1z,,
Ester Expósito,http://twitter.com/search?q=%22Ester+Exp%C3%B3sito%22,,42052
NeİşiVar Cezaevinde,http://twitter.com/search?q=%22Ne%C4%B0%C5%9FiVar+Cezaevinde%22,,360960
#PrePartyESatHome,http://twitter.com/search?q=%23PrePartyESatHome,,22230
Jads e Jadson,http://twitter.com/search?q=%22Jads+e+Jadson%22,,
Happy Birthday Brandon,http://twitter.com/search?q=%22Happy+Birthday+Brandon%22,,23082
Feliz Pascua de Resurrección,http://twitter.com/search?q=%22Feliz+Pascua+de+Resurrecci%C3%B3n%22,,
Raí e Luan,http://twitter.com/search?q=%22Ra%C3%AD+e+Luan%22,,
George Henrique e Rodrigo,http://twitter.com/search?q=%22George+Henrique+e+Rodrigo%22,,
DBN Gogo,http://twitter.com/search?q=%22DBN+Gogo%22,,
QUER PRIORIDADE,http://twitter.com/search?q=%22QUER+PRIORIDADE%22,,11168
Buona Pasqua,http://twitter.com/search?q=%22Buona+Pasqua%22,,20965
Gustavo Lins,http://twitter.com/search?q=%22Gustavo+Lins%22,,
Wanderley Andrade,http://twitter.com/search?q=%22Wanderley+Andrade%22,,
He is Risen,http://twitter.com/search?q=%22He+is+Risen%22,,11987
#UnidosComBolsonaro,http://twitter.com/search?q=%23UnidosComBolsonaro,,77283
#Türkhalkıpolisininyanında,http://twitter.com/search?q=%23T%C3%BCrkhalk%C4%B1polisininyan%C4%B1nda,,72050
#ShineYourLight,http://twitter.com/search?q=%23ShineYourLight,,22540
#EurovisionAgain,http://twitter.com/search?q=%23EurovisionAgain,,25161
#NationalPetDay,http://twitter.com/search?q=%23NationalPetDay,,55540
#هند_القحطاني_vs_كوتش_خلود,http://twitter.com/search?q=%23%D9%87%D9%86%D8%AF_%D8%A7%D9%84%D9%82%D8%AD%D8%B7%D8%A7%D9%86%D9%8A_vs_%D9%83%D9%88%D8%AA%D8%B4_%D8%AE%D9%84%D9%88%D8%AF,,
#SOLeMAR,http://twitter.com/search?q=%23SOLeMAR,,
#SecretosAgoney,http://twitter.com/search?q=%23SecretosAgoney,,
#ThingsAmazonWontDeliver,http://twitter.com/search?q=%23ThingsAmazonWontDeliver,,
#HayattaKal,http://twitter.com/search?q=%23HayattaKal,,
#حجب_وكاله_الاناضول,http://twitter.com/search?q=%23%D8%AD%D8%AC%D8%A8_%D9%88%D9%83%D8%A7%D9%84%D9%87_%D8%A7%D9%84%D8%A7%D9%86%D8%A7%D8%B6%D9%88%D9%84,,
#LiveLegado,http://twitter.com/search?q=%23LiveLegado,,35927
#WWEnoSBT,http://twitter.com/search?q=%23WWEnoSBT,,
#BritainsGotTalent,http://twitter.com/search?q=%23BritainsGotTalent,,
#يازين_قعده_البيت,http://twitter.com/search?q=%23%D9%8A%D8%A7%D8%B2%D9%8A%D9%86_%D9%82%D8%B9%D8%AF%D9%87_%D8%A7%D9%84%D8%A8%D9%8A%D8%AA,,19673
#PERSONA1Year,http://twitter.com/search?q=%23PERSONA1Year,,216145
#TheVoice,http://twitter.com/search?q=%23TheVoice,,
#CuarentenaExtendida,http://twitter.com/search?q=%23CuarentenaExtendida,,47238
#TarafsızOlTwitter,http://twitter.com/search?q=%23Tarafs%C4%B1zOlTwitter,,21368
#ياسر,http://twitter.com/search?q=%23%D9%8A%D8%A7%D8%B3%D8%B1,,
#ForaDoria,http://twitter.com/search?q=%23ForaDoria,,55779
#happyhournossa,http://twitter.com/search?q=%23happyhournossa,,
#Los31SonIlegalisimos,http://twitter.com/search?q=%23Los31SonIlegalisimos,,
#ابراهيم_سويد_في_ذمه_الله,http://twitter.com/search?q=%23%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%B3%D9%88%D9%8A%D8%AF_%D9%81%D9%8A_%D8%B0%D9%85%D9%87_%D8%A7%D9%84%D9%84%D9%87,,
#L6Ncoronacrucis,http://twitter.com/search?q=%23L6Ncoronacrucis,,
#SOSpersonalDeSalud,http://twitter.com/search?q=%23SOSpersonalDeSalud,,
#LiveBarbixas,http://twitter.com/search?q=%23LiveBarbixas,,
#OSegredoNaFloresta,http://twitter.com/search?q=%23OSegredoNaFloresta,,
#WandaLasPruebas,http://twitter.com/search?q=%23WandaLasPruebas,,
#ciaodarwin,http://twitter.com/search?q=%23ciaodarwin,,
#heimamedhelga,http://twitter.com/search?q=%23heimamedhelga,,
#livedosbrutos,http://twitter.com/search?q=%23livedosbrutos,,
