name,url,promoted_content,tweet_volume
#CosasDeToxicos,http://twitter.com/search?q=%23CosasDeToxicos,,
#LadoFDeFrankEnVivo,http://twitter.com/search?q=%23LadoFDeFrankEnVivo,,
#SomosMéxico,http://twitter.com/search?q=%23SomosM%C3%A9xico,,
Suman 125,http://twitter.com/search?q=%22Suman+125%22,,
#convoyasusórdenes,http://twitter.com/search?q=%23convoyasus%C3%B3rdenes,,
#MidnightIsComing,http://twitter.com/search?q=%23MidnightIsComing,,13645
Boris Johnson,http://twitter.com/search?q=%22Boris+Johnson%22,,620000
Funcionario con Covid-19,http://twitter.com/search?q=%22Funcionario+con+Covid-19%22,,
Ponchito,http://twitter.com/search?q=Ponchito,,
Esteban Arce,http://twitter.com/search?q=%22Esteban+Arce%22,,
Leonora Carrington,http://twitter.com/search?q=%22Leonora+Carrington%22,,
Joserra,http://twitter.com/search?q=Joserra,,
Grant Gustin,http://twitter.com/search?q=%22Grant+Gustin%22,,20254
alfredo tena,http://twitter.com/search?q=%22alfredo+tena%22,,
DERROTADO,http://twitter.com/search?q=DERROTADO,,12980
Salvador Cabañas,http://twitter.com/search?q=%22Salvador+Caba%C3%B1as%22,,
Vera Carrizal,http://twitter.com/search?q=%22Vera+Carrizal%22,,14515
Jerónimo Arango,http://twitter.com/search?q=%22Jer%C3%B3nimo+Arango%22,,
Venezuela y Bolivia,http://twitter.com/search?q=%22Venezuela+y+Bolivia%22,,
Bank of America,http://twitter.com/search?q=%22Bank+of+America%22,,
Blanca Valadez,http://twitter.com/search?q=%22Blanca+Valadez%22,,
Rodgers,http://twitter.com/search?q=Rodgers,,11536
cubero,http://twitter.com/search?q=cubero,,
José Ramón Fernández,http://twitter.com/search?q=%22Jos%C3%A9+Ram%C3%B3n+Fern%C3%A1ndez%22,,
Hailey,http://twitter.com/search?q=Hailey,,17236
Obtuve Silvana,http://twitter.com/search?q=%22Obtuve+Silvana%22,,
Daniel López Regalado,http://twitter.com/search?q=%22Daniel+L%C3%B3pez+Regalado%22,,
Radomir Antic,http://twitter.com/search?q=%22Radomir+Antic%22,,39330
Khabib,http://twitter.com/search?q=Khabib,,15026
dick tracy,http://twitter.com/search?q=%22dick+tracy%22,,
La Independencia,http://twitter.com/search?q=%22La+Independencia%22,,
Dominic Raab,http://twitter.com/search?q=%22Dominic+Raab%22,,49198
Bandamax,http://twitter.com/search?q=Bandamax,,
Miércoles 8,http://twitter.com/search?q=%22Mi%C3%A9rcoles+8%22,,11984
#HazmeFelizYYo,http://twitter.com/search?q=%23HazmeFelizYYo,,
#CALMIntegracion,http://twitter.com/search?q=%23CALMIntegracion,,
#CuarentenaInteligente,http://twitter.com/search?q=%23CuarentenaInteligente,,12892
#NeumoniasAtipicas,http://twitter.com/search?q=%23NeumoniasAtipicas,,
#rankingrd,http://twitter.com/search?q=%23rankingrd,,
#MetallicaMondays,http://twitter.com/search?q=%23MetallicaMondays,,
#billboardspeakup,http://twitter.com/search?q=%23billboardspeakup,,95485
#theRomancetour,http://twitter.com/search?q=%23theRomancetour,,
#AMLOYaSeVA,http://twitter.com/search?q=%23AMLOYaSeVA,,
#SeguridadPrimero,http://twitter.com/search?q=%23SeguridadPrimero,,
#justiciaparamariaelena,http://twitter.com/search?q=%23justiciaparamariaelena,,
#25Hits,http://twitter.com/search?q=%2325Hits,,
#monbebeareloyaltomx7,http://twitter.com/search?q=%23monbebeareloyaltomx7,,20669
#Yautepec,http://twitter.com/search?q=%23Yautepec,,
#FelizLunes,http://twitter.com/search?q=%23FelizLunes,,60781
#ARMYSelcaDay,http://twitter.com/search?q=%23ARMYSelcaDay,,891824
